,a/c,a/t,c/b,phi,F,Mg
8835,0.65,0.8,0.3,2.24804,1.2691,1.2928
11513,1.0,0.6,0.15,0.74468,1.14479,1.13524
1118,0.25,0.4,0.05,0.74546,1.1172,1.33188
3825,0.4,0.4,0.1,0.42952,0.94876,1.27283
18888,2.0,0.8,0.15,1.35784,0.53665,0.72727
4164,0.4,0.7,0.01,0.89339,1.32088,1.4599
12656,1.2,0.3,0.1,2.09106,0.89656,0.95534
12171,1.1,0.5,0.2,1.79949,0.98555,1.01814
15020,1.5,0.5,0.05,0.74538,0.80748,0.86864
17891,1.9,0.5,0.05,2.99562,0.82351,0.82605
3117,0.35,0.5,0.2,1.34117,1.31246,1.3114
3730,0.4,0.3,0.15,1.96174,1.11963,1.15182
9577,0.8,0.2,0.05,0.15362,1.04506,1.16424
3761,0.4,0.3,0.3,0.26189,0.86262,1.24376
5818,0.5,0.6,0.01,0.14157,1.10867,1.54526
4014,0.4,0.5,0.3,0.4372,1.03334,1.34559
14005,1.4,0.2,0.1,2.84931,0.91738,0.92581
9028,0.7,0.3,0.2,2.84217,1.00282,1.16421
13480,1.3,0.4,0.1,2.85656,0.97974,0.98537
16491,1.7,0.5,0.15,0.8927,0.71014,0.80015
777,0.2,0.8,0.2,0.02686,1.21787,2.65788
7233,0.6,0.3,0.05,1.35476,1.0981,1.10581
980,0.25,0.3,0.01,2.10034,1.13122,1.21122
6755,0.55,0.6,0.1,2.0901,1.20029,1.25354
16955,1.8,0.3,0.05,1.19107,0.60652,0.76059
4910,0.45,0.5,0.2,2.53116,1.08859,1.30228
11763,1.1,0.2,0.01,0.43674,1.02308,1.03117
10086,0.8,0.7,0.01,0.90162,1.15614,1.2
17195,1.8,0.5,0.1,2.55494,0.74544,0.78872
4653,0.45,0.3,0.2,1.80464,1.12924,1.1332
1609,0.25,0.8,0.01,1.95164,1.67198,1.7309
18650,2.0,0.6,0.05,0.304,0.76453,0.77722
7012,0.55,0.8,0.1,2.83479,1.24909,1.59786
2916,0.35,0.4,0.01,2.69546,0.93651,1.28074
7209,0.6,0.3,0.01,0.89483,1.04364,1.12164
8049,0.65,0.2,0.2,0.94571,1.03905,1.09247
6504,0.55,0.4,0.1,2.27238,1.07817,1.17189
5935,0.5,0.6,0.3,1.9556,1.26678,1.25901
3780,0.4,0.4,0.01,0.07717,0.91687,1.43857
3177,0.35,0.6,0.05,0.90026,1.29503,1.43483
11966,1.1,0.3,0.2,2.55649,1.02714,1.03349
7014,0.55,0.8,0.15,0.03359,1.38273,1.84254
6923,0.55,0.7,0.2,2.09729,1.25296,1.29236
997,0.25,0.3,0.05,1.50197,1.21754,1.21833
11777,1.1,0.2,0.01,2.53986,1.00153,1.01595
8013,0.65,0.2,0.1,1.80314,1.07092,1.07795
8811,0.65,0.8,0.2,1.79649,1.22985,1.21437
14652,1.4,0.8,0.15,2.25027,0.85157,0.91945
7341,0.6,0.4,0.01,1.80843,1.12361,1.13377
14116,1.4,0.3,0.15,0.60091,0.86451,0.89835
8572,0.65,0.6,0.3,0.58803,1.15507,1.26833
9562,0.8,0.2,0.01,1.06112,1.03122,1.05456
17696,1.9,0.3,0.1,2.0949,0.61024,0.74039
2368,0.3,0.6,0.3,2.38974,1.31739,1.50338
14209,1.4,0.4,0.1,1.95093,0.76663,0.8772
7076,0.55,0.8,0.3,2.98989,1.33806,1.70151
6771,0.55,0.6,0.15,1.3398,1.22713,1.22828
3401,0.35,0.7,0.3,2.99761,1.19201,1.87058
14801,1.5,0.3,0.01,2.55326,0.81822,0.85751
14620,1.4,0.8,0.1,0.59999,0.91896,0.95407
8375,0.65,0.5,0.05,2.52991,1.07968,1.21929
1991,0.3,0.3,0.3,2.57011,0.93815,1.19406
9119,0.7,0.4,0.2,0.75076,1.05738,1.13365
15948,1.6,0.7,0.01,1.34311,0.65662,0.8148
271,0.2,0.4,0.05,2.85118,0.82945,1.4122
4109,0.4,0.6,0.15,2.09734,1.29445,1.3625
2937,0.35,0.4,0.05,2.69546,0.94077,1.2858
5168,0.45,0.7,0.3,0.31089,1.19162,1.5781
6017,0.5,0.7,0.15,1.65559,1.29552,1.28464
12027,1.1,0.4,0.1,2.25656,0.99464,1.01979
9776,0.8,0.4,0.01,1.64508,1.08113,1.08164
8509,0.65,0.6,0.1,0.58803,1.12879,1.27769
966,0.25,0.3,0.01,0.10752,0.70942,1.3634
8773,0.65,0.8,0.1,2.40658,1.21717,1.33267
10355,0.9,0.2,0.15,0.31641,1.07091,1.1194
14158,1.4,0.4,0.01,0.60469,0.86209,0.90002
14346,1.4,0.5,0.2,0.44369,0.92739,0.93784
17086,1.8,0.4,0.1,1.93753,0.60728,0.76291
