,a/c,a/t,c/b,phi,F,Mg
360,1.0,0.6,0.2,0.58905,1.214,1.19598
19,0.2,0.4,0.2,0.3927,0.883,1.34114
370,1.0,0.6,0.2,2.55254,1.214,1.19598
539,2.0,0.8,0.2,2.35619,0.661,0.72869
232,0.4,0.8,0.2,2.15984,1.408,1.48765
218,0.4,0.6,0.2,2.74889,1.113,1.50331
296,0.6,0.8,0.2,1.37445,1.264,1.24663
405,1.0,0.6,0.6,2.74889,1.487,1.28361
211,0.4,0.6,0.2,1.37445,1.363,1.35372
391,1.0,0.6,0.6,0.0,1.66,1.43294
533,2.0,0.8,0.2,1.1781,0.554,0.70113
521,2.0,0.6,0.2,2.15984,0.61,0.72142
399,1.0,0.6,0.6,1.5708,1.215,1.04881
180,0.4,0.2,0.2,1.9635,1.103,1.13417
403,1.0,0.6,0.6,2.35619,1.346,1.16189
11,0.2,0.2,0.2,2.15984,1.072,1.16466
532,2.0,0.8,0.2,0.98175,0.607,0.71425
470,1.0,0.8,0.8,2.15984,1.483,0.97485
353,1.0,0.4,0.4,2.55254,1.174,1.12733
490,2.0,0.2,0.2,2.74889,0.74,0.75808
522,2.0,0.6,0.2,2.35619,0.664,0.73571
181,0.4,0.2,0.2,2.15984,1.058,1.1348
318,1.0,0.2,0.2,2.35619,1.067,1.06173
139,0.2,0.8,0.6,0.58905,1.752,1.87646
12,0.2,0.2,0.2,2.35619,0.99,1.16007
131,0.2,0.8,0.4,2.35619,1.72,1.86322
235,0.4,0.8,0.2,2.74889,1.297,1.74301
30,0.2,0.4,0.2,2.55254,1.009,1.31187
420,1.0,0.8,0.2,2.35619,1.193,1.16937
448,1.0,0.8,0.6,1.1781,1.232,1.00485
502,2.0,0.4,0.2,1.76715,0.519,0.70734
37,0.2,0.4,0.4,0.58905,1.03,1.29878
526,2.0,0.6,0.2,3.14159,0.866,0.85315
299,0.6,0.8,0.2,1.9635,1.26,1.26581
48,0.2,0.4,0.4,2.74889,0.903,1.33014
411,1.0,0.8,0.2,0.58905,1.234,1.20956
258,0.6,0.4,0.2,0.58905,1.033,1.18363
96,0.2,0.6,0.6,2.15984,1.636,1.54191
93,0.2,0.6,0.6,1.5708,1.768,1.52617
438,1.0,0.8,0.4,2.55254,1.296,1.19218
215,0.4,0.6,0.2,2.15984,1.302,1.38262
540,2.0,0.8,0.2,2.55254,0.717,0.75062
157,0.2,0.8,0.8,0.7854,2.216,1.71539
110,0.2,0.8,0.2,1.5708,1.851,1.81434
275,0.6,0.6,0.2,0.58905,1.16,1.3225
2,0.2,0.2,0.2,0.3927,0.754,1.15093
300,0.6,0.8,0.2,2.15984,1.245,1.28936
363,1.0,0.6,0.2,1.1781,1.129,1.11224
33,0.2,0.4,0.2,3.14159,0.724,1.60291
511,2.0,0.6,0.2,0.19635,0.833,0.8266
505,2.0,0.4,0.2,2.35619,0.659,0.73384
188,0.4,0.4,0.2,0.19635,0.902,1.34922
106,0.2,0.8,0.2,0.7854,1.657,1.91264
10,0.2,0.2,0.2,1.9635,1.128,1.16576
498,2.0,0.4,0.2,0.98175,0.609,0.72386
265,0.6,0.4,0.2,1.9635,1.121,1.13756
402,1.0,0.6,0.6,2.15984,1.294,1.11701
63,0.2,0.6,0.2,2.35619,1.384,1.60561
339,1.0,0.4,0.2,3.14159,1.229,1.21685
178,0.4,0.2,0.2,1.5708,1.138,1.13238
124,0.2,0.8,0.4,0.98175,1.816,1.82393
230,0.4,0.8,0.2,1.76715,1.446,1.42892
407,1.0,0.6,0.6,3.14159,1.66,1.43294
17,0.2,0.4,0.2,0.0,0.724,1.60291
82,0.2,0.6,0.4,2.74889,1.12,1.61526
45,0.2,0.4,0.4,2.15984,1.243,1.3032
239,0.6,0.2,0.2,0.19635,0.919,1.1614
395,1.0,0.6,0.6,0.7854,1.346,1.16189
68,0.2,0.6,0.4,0.0,0.941,1.97821
433,1.0,0.8,0.4,1.5708,1.128,1.03764
6,0.2,0.2,0.2,1.1781,1.128,1.16576
416,1.0,0.8,0.2,1.5708,1.112,1.08998
423,1.0,0.8,0.2,2.94524,1.41,1.38207
512,2.0,0.6,0.2,0.3927,0.771,0.78197
487,2.0,0.2,0.2,2.15984,0.599,0.71553
151,0.2,0.8,0.6,2.94524,1.474,2.2857
311,1.0,0.2,0.2,0.98175,1.058,1.05277
49,0.2,0.4,0.4,2.94524,0.794,1.44956
248,0.6,0.2,0.2,1.9635,1.087,1.10857
357,1.0,0.6,0.2,0.0,1.355,1.33489
46,0.2,0.4,0.4,2.35619,1.144,1.29363
242,0.6,0.2,0.2,0.7854,1.024,1.12208
183,0.4,0.2,0.2,2.55254,0.923,1.14137
252,0.6,0.2,0.2,2.74889,0.942,1.1421
315,1.0,0.2,0.2,1.76715,1.05,1.04481
281,0.6,0.6,0.2,1.76715,1.227,1.21626
143,0.2,0.8,0.6,1.37445,2.017,1.66049
369,1.0,0.6,0.2,2.35619,1.181,1.16347
382,1.0,0.6,0.4,1.5708,1.138,1.06989
338,1.0,0.4,0.2,2.94524,1.206,1.19408
291,0.6,0.8,0.2,0.3927,1.265,1.51079
508,2.0,0.4,0.2,2.94524,0.818,0.8158
129,0.2,0.8,0.4,1.9635,1.872,1.78851
177,0.4,0.2,0.2,1.37445,1.129,1.13259
293,0.6,0.8,0.2,0.7854,1.243,1.3417
164,0.2,0.8,0.8,2.15984,2.271,1.62992
321,1.0,0.2,0.2,2.94524,1.145,1.13934
243,0.6,0.2,0.2,0.98175,1.059,1.11337
24,0.2,0.4,0.2,1.37445,1.344,1.34315
484,2.0,0.2,0.2,1.5708,0.495,0.69658
163,0.2,0.8,0.8,1.9635,2.278,1.55524
62,0.2,0.6,0.2,2.15984,1.501,1.61451
8,0.2,0.2,0.2,1.5708,1.173,1.16721
229,0.4,0.8,0.2,1.5708,1.447,1.41834
22,0.2,0.4,0.2,0.98175,1.222,1.32103
41,0.2,0.4,0.4,1.37445,1.366,1.32396
482,2.0,0.2,0.2,1.1781,0.552,0.70919
386,1.0,0.6,0.4,2.35619,1.231,1.15733
480,2.0,0.2,0.2,0.7854,0.646,0.72296
410,1.0,0.8,0.2,0.3927,1.314,1.28798
142,0.2,0.8,0.6,1.1781,2.016,1.70777
444,1.0,0.8,0.6,0.3927,1.588,1.29521
259,0.6,0.4,0.2,0.7854,1.062,1.15793
55,0.2,0.6,0.2,0.7854,1.384,1.60561
