a/c,a/t,c/b,phi,F,Mg
0.2,0.28,0.2,2.15423,1.14995,1.24468
0.2,0.28,0.2,2.24399,1.11807,1.24788
0.2,0.28,0.2,2.33375,1.08193,1.2525
0.2,0.28,0.2,2.42351,1.04142,1.25885
0.2,0.28,0.2,2.51327,0.99633,1.26721
0.2,0.28,0.2,2.60303,0.94633,1.27786
0.2,0.28,0.2,2.69279,0.89106,1.29101
0.2,0.28,0.2,2.78255,0.83036,1.30685
0.2,0.28,0.2,2.87231,0.76506,1.32551
0.2,0.28,0.2,2.96207,0.6992,1.34701
0.2,0.28,0.2,3.05183,0.64539,1.37135
0.2,0.28,0.2,3.14159,0.62975,1.39842
0.2,0.30571,0.2,0,0.64525,1.43192
0.2,0.30571,0.2,0.08976,0.6608,1.40319
0.2,0.30571,0.2,0.17952,0.7154,1.37735
0.2,0.30571,0.2,0.26928,0.78231,1.35453
0.2,0.30571,0.2,0.35904,0.84862,1.33473
0.2,0.30571,0.2,0.4488,0.91021,1.31792
0.2,0.30571,0.2,0.53856,0.96628,1.30396
0.2,0.30571,0.2,0.62832,1.01699,1.29266
0.2,0.30571,0.2,0.71808,1.06273,1.28378
0.2,0.30571,0.2,0.80784,1.10384,1.27704
0.2,0.30571,0.2,0.8976,1.14054,1.27214
0.2,0.30571,0.2,0.98736,1.17294,1.26874
0.2,0.30571,0.2,1.07712,1.20102,1.26654
0.2,0.30571,0.2,1.16688,1.22472,1.26524
0.2,0.30571,0.2,1.25664,1.24391,1.26455
0.2,0.30571,0.2,1.3464,1.25846,1.26426
0.2,0.30571,0.2,1.43616,1.26824,1.26416
0.2,0.30571,0.2,1.52592,1.27316,1.26415
0.2,0.30571,0.2,1.61568,1.27316,1.26415
0.2,0.30571,0.2,1.70544,1.26824,1.26416
0.2,0.30571,0.2,1.7952,1.25846,1.26426
0.2,0.30571,0.2,1.88496,1.24391,1.26455
0.2,0.30571,0.2,1.97472,1.22472,1.26524
0.2,0.30571,0.2,2.06448,1.20102,1.26654
0.2,0.30571,0.2,2.15423,1.17294,1.26874
0.2,0.30571,0.2,2.24399,1.14054,1.27214
0.2,0.30571,0.2,2.33375,1.10384,1.27704
0.2,0.30571,0.2,2.42351,1.06273,1.28378
0.2,0.30571,0.2,2.51327,1.01699,1.29266
0.2,0.30571,0.2,2.60303,0.96628,1.30396
0.2,0.30571,0.2,2.69279,0.91021,1.31792
0.2,0.30571,0.2,2.78255,0.84862,1.33473
0.2,0.30571,0.2,2.87231,0.78231,1.35453
0.2,0.30571,0.2,2.96207,0.7154,1.37735
0.2,0.30571,0.2,3.05183,0.6608,1.40319
0.2,0.30571,0.2,3.14159,0.64525,1.43192
0.2,0.33143,0.2,0,0.66206,1.46828
0.2,0.33143,0.2,0.08976,0.67749,1.4377
0.2,0.33143,0.2,0.17952,0.73294,1.41021
0.2,0.33143,0.2,0.26928,0.80095,1.38591
0.2,0.33143,0.2,0.35904,0.86832,1.36485
0.2,0.33143,0.2,0.4488,0.93086,1.34695
0.2,0.33143,0.2,0.53856,0.98776,1.33209
0.2,0.33143,0.2,0.62832,1.03922,1.32006
0.2,0.33143,0.2,0.71808,1.08564,1.31062
0.2,0.33143,0.2,0.80784,1.12738,1.30344
0.2,0.33143,0.2,0.8976,1.16467,1.29822
0.2,0.33143,0.2,0.98736,1.19762,1.29461
0.2,0.33143,0.2,1.07712,1.2262,1.29227
0.2,0.33143,0.2,1.16688,1.25035,1.29088
0.2,0.33143,0.2,1.25664,1.26991,1.29015
0.2,0.33143,0.2,1.3464,1.28475,1.28984
0.2,0.33143,0.2,1.43616,1.29473,1.28974
0.2,0.33143,0.2,1.52592,1.29974,1.28972
0.2,0.33143,0.2,1.61568,1.29974,1.28972
0.2,0.33143,0.2,1.70544,1.29473,1.28974
0.2,0.33143,0.2,1.7952,1.28475,1.28984
0.2,0.33143,0.2,1.88496,1.26991,1.29015
0.2,0.33143,0.2,1.97472,1.25035,1.29088
0.2,0.33143,0.2,2.06448,1.2262,1.29227
0.2,0.33143,0.2,2.15423,1.19762,1.29461
0.2,0.33143,0.2,2.24399,1.16467,1.29822
0.2,0.33143,0.2,2.33375,1.12738,1.30344
0.2,0.33143,0.2,2.42351,1.08564,1.31062
0.2,0.33143,0.2,2.51327,1.03922,1.32006
0.2,0.33143,0.2,2.60303,0.98776,1.33209
0.2,0.33143,0.2,2.69279,0.93086,1.34695
0.2,0.33143,0.2,2.78255,0.86832,1.36485
0.2,0.33143,0.2,2.87231,0.80095,1.38591
0.2,0.33143,0.2,2.96207,0.73294,1.41021
0.2,0.33143,0.2,3.05183,0.67749,1.4377
