a/c,a/t,c/b,phi,F,Mg
1.3,0.8,0.05,2.99979,1.13054,1.13146
1.6,0.4,0.1,2.5581,0.79924,0.83909
0.7,0.2,0.05,0.46067,0.97312,1.10962
0.25,0.7,0.15,0.45793,1.25941,1.77135
2.0,0.5,0.05,1.80682,0.53043,0.72163
0.25,0.7,0.3,0.90558,1.57816,1.69353
0.65,0.2,0.1,0.72989,1.00251,1.10292
0.6,0.5,0.01,0.6156,1.0748,1.23509
1.5,0.8,0.01,0.45343,0.90638,0.93224
0.4,0.2,0.15,1.17099,1.07275,1.1068
0.8,0.6,0.1,1.04831,1.12765,1.15017
1.7,0.4,0.2,0.6003,0.77628,0.81492
0.9,0.5,0.01,2.40219,1.09039,1.12062
0.55,0.8,0.3,2.68902,1.2824,1.50763
0.8,0.7,0.15,0.44797,1.19429,1.28951
0.5,0.6,0.05,0.58706,1.13384,1.36086
0.2,0.7,0.1,1.95032,1.77429,1.83014
0.45,0.7,0.01,1.49634,1.32348,1.32489
0.35,0.5,0.1,0.74152,1.15433,1.35333
1.8,0.2,0.05,0.88663,0.6671,0.76261
0.55,0.3,0.2,2.39514,1.01884,1.13778
1.8,0.7,0.01,1.6526,0.5677,0.7588
0.7,0.2,0.1,1.79285,1.06126,1.06661
0.6,0.7,0.05,2.41038,1.18661,1.32246
0.55,0.5,0.3,1.81037,1.20682,1.18497
0.4,0.7,0.1,2.39336,1.2943,1.49727
1.6,0.3,0.2,0.15141,0.90639,0.90282
0.3,0.5,0.05,2.53771,1.10932,1.40865
0.55,0.5,0.05,1.81037,1.17974,1.1907
0.4,0.6,0.2,1.35504,1.34049,1.33362
0.3,0.8,0.01,1.65391,1.54668,1.54904
0.3,0.6,0.1,0.75453,1.29345,1.51978
1.8,0.4,0.15,2.8469,0.80834,0.81602
0.6,0.3,0.01,0.27909,0.96183,1.20302
0.65,0.2,0.3,0.48872,0.99114,1.13822
0.6,0.7,0.15,1.0607,1.2198,1.25897
0.2,0.6,0.3,0.74723,1.43079,1.65845
1.1,0.7,0.2,0.00579,1.27573,1.25363
1.2,0.5,0.1,0.15591,1.09959,1.09823
0.2,0.4,0.01,0.13613,0.71369,1.45627
1.2,0.7,0.2,0.60225,1.03693,1.0456
1.8,0.3,0.15,0.74392,0.70673,0.77418
0.4,0.3,0.2,2.7173,0.89549,1.19867
0.4,0.3,0.01,0.08837,0.85721,1.34183
1.6,0.7,0.01,2.39618,0.77816,0.84483
0.35,0.4,0.1,0.88181,1.12609,1.2533
0.5,0.4,0.05,2.38088,1.05469,1.1944
0.25,0.5,0.05,2.85616,0.93553,1.53702
0.4,0.4,0.05,2.71122,0.94631,1.27133
0.5,0.8,0.1,0.45851,1.24827,1.56488
1.6,0.6,0.05,2.25065,0.74142,0.83095
1.0,0.3,0.01,1.18926,1.05133,1.05131
1.2,0.5,0.2,2.2447,0.94396,0.98168
0.2,0.2,0.2,2.9794,0.63014,1.24166
1.0,0.6,0.1,0.00542,1.30319,1.29836
1.5,0.3,0.1,1.48611,0.68692,0.83788
0.45,0.4,0.15,0.41892,0.96186,1.25778
0.6,0.6,0.05,0.76527,1.14252,1.26302
0.7,0.8,0.05,2.2496,1.19487,1.26228
1.2,0.6,0.2,2.09759,0.9392,0.9872
0.55,0.8,0.1,2.10269,1.26648,1.32409
0.35,0.7,0.3,1.19513,1.46625,1.45386
0.55,0.5,0.2,1.81037,1.19392,1.19103
1.9,0.5,0.1,1.20952,0.57805,0.74021
0.3,0.5,0.15,1.64039,1.37322,1.36518
1.7,0.5,0.05,1.7944,0.61568,0.78451
1.1,0.6,0.2,2.09732,1.02212,1.04254
1.0,0.6,0.01,1.34504,1.08852,1.08848
0.8,0.4,0.15,0.14425,1.11074,1.23138
1.5,0.5,0.1,1.80594,0.70495,0.84671
1.6,0.3,0.1,0.29082,0.85506,0.86452
0.65,0.7,0.2,2.41225,1.19282,1.2913
0.4,0.3,0.01,1.96174,1.1141,1.1509
2.0,0.6,0.01,1.94743,0.55414,0.71968
1.8,0.2,0.2,0.15317,0.84665,0.84589
0.8,0.2,0.01,0.61521,1.01351,1.08551
1.1,0.7,0.15,0.60473,1.10276,1.1079
0.6,0.4,0.3,0.75852,1.07325,1.16296
1.1,0.5,0.05,2.1066,0.99054,1.02435
0.25,0.8,0.05,1.20062,1.68414,1.73802
0.8,0.3,0.05,0.60987,1.03145,1.10488
1.7,0.3,0.1,0.74428,0.73015,0.79681
0.45,0.6,0.01,1.79143,1.28173,1.29422
2.0,0.7,0.15,2.39853,0.67632,0.74398
2.0,0.5,0.01,1.36024,0.5222,0.71609
1.5,0.6,0.15,1.20722,0.72905,0.85355
0.45,0.8,0.2,2.70624,1.27454,1.63087
1.7,0.5,0.15,1.7944,0.62477,0.79117
1.5,0.3,0.2,2.70347,0.86602,0.88254
1.0,0.6,0.2,0.15512,1.30037,1.28107
0.4,0.5,0.2,2.56664,1.0807,1.33515
1.8,0.5,0.15,2.09427,0.64508,0.76906
1.5,0.2,0.05,1.64397,0.68413,0.83623
0.5,0.8,0.15,1.34401,1.30776,1.30577
1.3,0.8,0.2,2.39906,0.95179,0.98239
0.3,0.8,0.1,1.34495,1.55753,1.56804
1.1,0.5,0.1,2.70423,1.08338,1.08861
0.35,0.6,0.15,1.64052,1.39662,1.38645
0.4,0.6,0.1,2.2558,1.25441,1.3846
0.5,0.4,0.01,2.23189,1.09138,1.18589
1.0,0.8,0.2,1.19902,1.14141,1.1188
0.45,0.5,0.15,1.79803,1.23689,1.24105
1.8,0.7,0.15,1.50665,0.57851,0.76684
0.2,0.8,0.3,2.54561,1.64789,2.0577
2.0,0.2,0.2,0.76517,0.6614,0.73577
0.6,0.7,0.01,2.41038,1.18229,1.31902
1.5,0.8,0.2,2.8493,0.98011,0.97211
1.6,0.2,0.15,2.85288,0.85519,0.86368
1.9,0.8,0.1,1.35331,0.55979,0.74611
0.4,0.3,0.3,1.17899,1.12781,1.1458
0.55,0.7,0.01,1.79436,1.24245,1.25328
1.1,0.6,0.1,0.30153,1.15099,1.15116
0.4,0.4,0.15,2.8449,0.91339,1.30906
1.1,0.5,0.01,2.1066,0.99185,1.02646
1.0,0.4,0.15,1.0498,1.08138,1.07537
0.5,0.8,0.05,0.03783,1.35666,1.91419
1.1,0.3,0.15,1.06188,0.97353,1.0045
1.3,0.7,0.15,1.65588,0.81923,0.92383
1.6,0.7,0.05,2.25379,0.74838,0.838
1.4,0.3,0.01,2.24239,0.7992,0.87377
1.2,0.7,0.2,3.00016,1.18939,1.17057
1.1,0.2,0.15,0.14516,1.09864,1.09659
1.0,0.4,0.1,1.0498,1.07737,1.07471
0.6,0.5,0.2,2.68512,1.06956,1.26623
1.4,0.4,0.15,0.60469,0.87268,0.90604
0.65,0.2,0.15,2.65206,0.97772,1.13209
